ingredient_name,allergen_info,health_conditions,Not_Suitable_for_Diets,description
Acorns,Tree Nuts,0,"Paleo, Whole30",Edible but requires processing to remove bitterness (tannins).
Barukas (Brazilian Savanna Nut),Tree Nuts,0,"Paleo, Whole30",A superfood nut with high protein and fiber content.
Pili Nuts,Tree Nuts,0,"Paleo, Whole30","A rare nut from the Philippines, rich in healthy fats."
Candlenuts,Tree Nuts,0,"Paleo, Whole30","A high-oil nut used in Southeast Asian cooking, must be cooked before eating."
Tiger Nuts,0,0,0,"A tuber, not a nut, high in fiber and prebiotics."
Beech Nuts,Tree Nuts,0,"Paleo, Whole30",Small tree nuts that can be eaten in moderation.
Butternuts,Tree Nuts,0,"Paleo, Whole30","A relative of walnuts, rich in omega-3 fatty acids."
Ginkgo Nuts,Tree Nuts,0,"Paleo, Whole30","Seeds of the ginkgo tree, must be cooked to remove toxins."
Breadnuts,Tree Nuts,0,"Paleo, Whole30","A starchy nut similar to chestnuts, high in carbohydrates."
Water Caltrop (Water Chestnut),0,0,0,"An aquatic vegetable with a nut-like texture, used in Asian cuisine."
Kukui Nuts,Tree Nuts,0,"Paleo, Whole30","A Hawaiian nut, used in oil form, not commonly eaten raw."
Shea Nuts,Tree Nuts,0,"Paleo, Whole30","Used to produce shea butter, not commonly consumed directly."
Peanuts,Peanuts,0,"Paleo, Whole30","A legume high in protein, often mistaken for a tree nut."
Marcona Almonds,Tree Nuts,0,"Paleo, Whole30","A sweeter and softer variety of almond, popular in Spain."
Cocoa Beans,0,0,0,"The raw ingredient of chocolate, rich in antioxidants."
Coconut,Coconut,0,0,"A high-fat fruit used for milk, oil, and flakes."
Groundnuts,Peanuts,0,"Paleo, Whole30","Another name for peanuts, commonly used in Africa and Asia."
Chia Seeds,0,0,0,"A fiber-rich seed that absorbs water, good for digestion."
Flaxseeds,0,0,0,"A seed rich in omega-3 fatty acids and fiber, good for heart health."
Pumpkin Seeds,0,0,0,A crunchy seed high in magnesium and antioxidants.
Sunflower Seeds,0,0,0,A nutritious seed high in vitamin E and selenium.
Sesame Seeds,Sesame,0,Whole30,"A small seed rich in calcium and healthy fats, used in tahini."
Hemp Seeds,0,0,0,A protein-rich seed with all essential amino acids.
Poppy Seeds,0,0,0,"A tiny seed with a nutty flavor, used in baking."
Mustard Seeds,Mustard,0,Whole30,"A spice used in condiments, adds a pungent flavor."
Cumin Seeds,0,0,0,"A spice with a warm, earthy flavor, used in Indian cuisine."
Caraway Seeds,0,0,0,"A seed used in rye bread and European cooking, aids digestion."
Basil Seeds,0,0,0,"A seed similar to chia, swells in liquid, used in drinks."
Quinoa Seeds,0,0,0,"A protein-rich pseudo-cereal containing all essential amino acids, gluten-free, and high in fiber."
Nigella Seeds,0,0,0,"Also known as black cumin, these seeds have antimicrobial and anti-inflammatory properties and are used in traditional medicine."
Coriander Seeds,0,0,0,"Dried seeds of the coriander plant, used as a spice with digestive and blood sugar-regulating benefits."
Fenugreek Seeds,Peanuts,0,0,"Slightly bitter seeds that aid digestion, improve blood sugar control, and support lactation in nursing mothers."
Fennel Seeds,0,0,0,"Aromatic seeds with a mild licorice flavor, used for digestion and bloating relief."
Dill Seeds,0,0,0,"Small, aromatic seeds used as a seasoning and for their antibacterial and digestive benefits."
Sacha Inchi Seeds,0,0,"Paleo, Whole30","High in omega-3s, protein, and antioxidants, these seeds promote brain and heart health."
Melon Seeds,0,0,0,"Nutritious and high in protein, often roasted as a snack."
Watermelon Seeds,0,0,0,"Rich in magnesium and protein, often consumed roasted or as seed butter."
Amaranth Seeds,0,0,0,"A gluten-free pseudo-cereal, rich in protein, iron, and fiber, commonly used in porridges and baking."
Buckwheat Seeds,0,Celiac Disease,0,"A gluten-free grain alternative, high in fiber and antioxidants, supports heart health."
Alfalfa Seeds,0,0,0,"Often used for sprouting, high in vitamins C and K, and beneficial for cholesterol control."
Anise Seeds,0,0,0,"Aromatic seeds with a licorice-like flavor, commonly used in desserts and digestive aids."
Safflower Seeds,0,0,0,"Used for oil production, rich in unsaturated fats and beneficial for heart health."
Teff Seeds,0,0,0,"An ancient grain high in protein, iron, and calcium, used in Ethiopian injera bread."
Cotton Seeds,0,0,0,"Primarily used for oil extraction, not typically consumed due to natural toxins."
Evening Primrose Seeds,0,0,0,"Used for oil extraction, known for hormonal balance and skin health benefits."
Grape Seeds,0,0,0,"High in antioxidants and used for making grape seed oil, beneficial for heart health."
Sesame Tahini,Sesame,0,Whole30,"A paste made from ground sesame seeds, rich in calcium and healthy fats, commonly used in Middle Eastern cuisine."
Almond Butter,Tree Nuts,0,"Paleo, Whole30","A nutrient-dense nut butter high in vitamin E, healthy fats, and protein."
Cashew Butter,Tree Nuts,0,"Paleo, Whole30","A creamy, mild-flavored butter, rich in magnesium and healthy fats."
Peanut Butter,Peanuts,0,"Paleo, Whole30","High in protein and healthy fats, though some brands contain added sugars and oils."
Pistachio Butter,Tree Nuts,0,"Paleo, Whole30","A nutrient-rich, green-colored butter with antioxidants and fiber, used in desserts."
Walnut Oil,Tree Nuts,0,"Paleo, Whole30","High in omega-3s, known for supporting brain and heart health, used in salads and light cooking."
Coconut Oil,Coconut,Heart Disease,0,"Rich in medium-chain triglycerides (MCTs), used in cooking, skincare, and keto diets."
Sesame Oil,Sesame,0,Whole30,"Common in Asian cuisine, rich in antioxidants and healthy fats."
Flaxseed Oil,0,0,0,"A plant-based source of omega-3 fatty acids, beneficial for heart and brain health."
Sunflower Oil,0,0,0,"A light cooking oil, high in vitamin E but contains omega-6 fats, which should be balanced in the diet."
Poppy Seed Oil,0,0,0,"Contains healthy fats and antioxidants, used in salad dressings and traditional medicine."
Hemp Milk,0,0,0,"A plant-based milk rich in protein, omega-3s, and essential minerals, a great dairy alternative."
Almond Milk,Tree Nuts,0,"Paleo, Whole30","A popular dairy alternative, often fortified with calcium and vitamin D."
Coconut Milk,Coconut,0,0,"A creamy dairy substitute, rich in saturated fats, often used in curries and desserts."
Nut Flour,Tree Nuts,0,"Paleo, Whole30","A gluten-free flour alternative made from finely ground nuts, used in baking and keto recipes."
Hazelnut Spread,Tree Nuts,0,"Paleo, Whole30","A sweet spread made from hazelnuts, often mixed with cocoa (like Nutella), can be high in sugar."
Nut Bars,Tree Nuts,0,"Paleo, Whole30","Snack bars made from mixed nuts, sometimes with added sweeteners, providing protein and energy."
Chia Oil,0,0,0,"A concentrated source of omega-3s and antioxidants, used for heart health and inflammation control."
Flaxseed Powder,0,0,0,"Ground flaxseeds rich in fiber, lignans, and omega-3s, used in smoothies and baking."
Sesame Paste (Tahini),Sesame,0,Whole30,"A smooth paste made from sesame seeds, used in hummus and dressings."
Peanut Sauce,Peanuts,0,"Paleo, Whole30","A savory sauce made with peanut butter, soy sauce, and spices, commonly used in Asian dishes."
Pumpkin Seed Butter,0,0,0,"A nutritious spread rich in magnesium and zinc, good for immune support."
Sunflower Seed Butter,0,0,0,"A nut-free alternative to peanut butter, high in vitamin E and antioxidants."
Mixed Nut Trail Mix,Tree Nuts,0,"Paleo, Whole30","A high-energy snack made with nuts, dried fruits, and sometimes chocolate."
Seed Crackers,0,0,0,"A fiber-rich, crunchy snack made with various seeds, often gluten-free."
Chia Pudding,0,0,0,"A dessert or breakfast dish made with chia seeds, which form a gel-like consistency when soaked."
Granola,0,0,"Paleo, Whole30","A mix of oats, nuts, seeds, and sweeteners, often eaten with yogurt or milk, but some versions contain high sugar."
Energy Balls,0,0,"Paleo, Whole30","Small snack bites made from nuts, dates, seeds, and sometimes chocolate, offering a quick energy boost."
Nut and Seed Brittle,Tree Nuts,0,"Paleo, Whole30","A crunchy sweet treat made from caramelized sugar and nuts/seeds, can be high in sugar."
Nut-based Vegan Cheese,Tree Nuts,0,"Paleo, Whole30","A dairy-free cheese alternative made from nuts like cashews, often used in plant-based diets."
Nut-based Ice Cream,Tree Nuts,0,"Paleo, Whole30","A non-dairy ice cream alternative made from nuts, like almond or cashew milk."
Nut Protein Powder,Tree Nuts,0,"Paleo, Whole30","A plant-based protein supplement derived from nuts, used in smoothies and shakes."
Hemp Protein Powder,0,0,0,"A plant-based protein powder rich in omega-3s, fiber, and essential amino acids."
Cashew Cream,Tree Nuts,0,"Paleo, Whole30","A dairy-free alternative made from blended cashews, often used in vegan sauces and desserts."
Pesto Sauce,Tree Nuts,0,"Paleo, Whole30","A green sauce made with basil, nuts (typically pine nuts), garlic, olive oil, and Parmesan cheese."
Nut Toppings,Tree Nuts,0,"Paleo, Whole30","Chopped or crushed nuts used for garnishing salads, oatmeal, yogurt, and desserts."
Nut-based Chocolate Bars,Tree Nuts,0,"Paleo, Whole30","Chocolate bars infused with nuts like almonds, hazelnuts, or cashews for added crunch and nutrition."
Sesame Seed Snacks,Tree Nuts,0,Whole30,"Snacks made from sesame seeds, such as brittle, roasted seeds, or energy bars."
Roasted Spiced Nuts,Tree Nuts,0,"Paleo, Whole30","Nuts roasted with a blend of spices for a crunchy, flavorful snack."
Trail Mix with Seeds,Tree Nuts,0,0,"A nutritious blend of nuts, seeds, and dried fruits for a balanced energy boost."
Nut-based Biscotti or Cookies,Tree Nuts,0,"Paleo, Whole30","Crunchy cookies that incorporate nuts for texture and flavor, often served with coffee or tea."
Salt,0,High Blood Pressure,0,A fundamental seasoning used for enhancing flavor and preserving food.
Black Pepper,0,0,0,"A pungent spice made from dried peppercorns, commonly used to season dishes."
White Pepper,0,0,0,"A milder, slightly earthy alternative to black pepper, often used in soups and sauces."
Garlic Powder,0,0,0,"A dehydrated form of garlic, providing a strong flavor in spice blends and seasonings."
Onion Powder,Onion,0,0,"A dried and ground form of onion, used for adding depth to dishes."
Ginger Powder,0,0,0,"A warm, slightly spicy powder made from dried ginger root, used in baking and cooking."
Paprika,0,0,0,"A spice made from dried red peppers, available in sweet, smoked, and hot varieties."
Chili Powder,0,0,0,"A blend of ground chilies and spices, used to add heat to dishes."
Turmeric,0,0,0,A bright yellow spice known for its earthy flavor and anti-inflammatory properties.
Cumin,0,0,0,"A warm, earthy spice commonly used in Middle Eastern, Indian, and Mexican cuisine."
Coriander Powder,0,0,0,"A citrusy, slightly sweet spice made from ground coriander seeds."
Mustard Powder,Mustard,0,Whole30,"A pungent spice made from ground mustard seeds, used in condiments and spice blends."
Cloves,0,0,0,"Aromatic flower buds with a strong, warm flavor used in spice mixes and teas."
Cardamom,0,0,0,"A fragrant spice with a sweet, citrusy, and slightly spicy taste, used in desserts and curries."
Nutmeg,0,0,0,"A warm, sweet spice often used in baked goods, spice blends, and sauces."
Cinnamon,0,0,0,"A woody, sweet spice commonly used in desserts, spiced drinks, and savory dishes."
Allspice,0,0,0,"A spice that combines the flavors of cinnamon, nutmeg, and cloves."
Fenugreek,0,0,0,"A slightly bitter, aromatic spice often used in Indian cuisine and herbal remedies."
Bay Leaves,0,0,0,"Dried leaves used to add depth of flavor to soups, stews, and broths."
Fennel Seeds,0,0,0,"Small, aromatic seeds with a mild licorice flavor, used in cooking and digestion aids."
Cayenne Pepper,0,0,0,"A hot spice made from ground red chili peppers, often used to add heat to dishes."
Smoked Paprika,0,0,0,"A smoky variation of paprika, adding depth to grilled and roasted dishes."
Sumac,0,0,0,"A tangy, lemony spice used in Middle Eastern cuisine for seasoning meats and salads."
Black Salt (Kala Namak),0,High Blood Pressure,0,"A sulfur-rich salt with an egg-like aroma, commonly used in Indian cuisine."
Asafoetida (Hing),Wheat,0,0,"A strong-smelling spice used in Indian cooking, known for its digestive benefits."
Basil,0,0,0,"A fragrant herb with a sweet, slightly peppery flavor, widely used in Italian and Thai cuisine."
Oregano,0,0,0,"A pungent herb with a slightly bitter taste, often used in Mediterranean and Mexican dishes."
Thyme,0,0,0,"A versatile herb with a woody, earthy flavor, used in roasts, stews, and soups."
Rosemary,0,0,0,"A robust, pine-like herb commonly used in Mediterranean dishes, meats, and bread."
Parsley,0,0,0,"A fresh, slightly peppery herb used in salads, soups, and garnishes."
Cilantro (Coriander Leaves),0,0,0,"A fresh herb with a citrusy, slightly soapy taste, used in Mexican and Asian dishes."
Mint,0,0,0,"A cooling herb used in beverages, desserts, and savory dishes."
Dill,0,0,0,"A feathery herb with a light, tangy taste, often paired with fish and pickles."
Tarragon,0,0,0,A licorice-flavored herb used in French cooking and sauces.
Sage,0,0,0,"A savory herb with an earthy, peppery taste, often used in stuffing and meat dishes."
Chives,0,0,0,"A mild onion-flavored herb used in salads, soups, and garnishes."
Marjoram,0,0,0,"A mild, sweet herb similar to oregano, used in Mediterranean and European dishes."
Bay Leaf,0,0,0,"A dried aromatic leaf used to flavor soups, stews, and broths."
Lemongrass,0,0,0,A citrus-scented herb used in Thai and Vietnamese cooking.
Kaffir Lime Leaves,0,0,0,Fragrant leaves used in Thai curries and soups for a citrusy aroma.
Fennel Fronds,0,0,0,"The leafy green tops of fennel, used as a garnish or flavoring in dishes."
Lovage,0,0,0,"A herb with a celery-like taste, used in soups, stews, and salads."
Savory,0,0,0,"A peppery herb used in bean dishes, meats, and stuffing."
Sorrel,0,0,0,"A tangy, lemony herb used in soups, salads, and sauces."
Holy Basil (Tulsi),0,0,0,"A fragrant herb with medicinal properties, used in Indian cuisine and herbal teas."
Epazote (Mexican Herb),0,0,0,"A pungent herb used in Mexican dishes, especially for flavoring beans."
Fenugreek Leaves (Kasuri Methi),Peanuts,0,0,"Dried leaves with a bitter, slightly sweet flavor, used in Indian curries."
Chervil,0,0,0,"A mild, anise-flavored herb used in French cuisine and salads."
Mexican Oregano,0,0,0,"A stronger, citrusy version of oregano, common in Mexican cooking."
Curry Leaves,0,0,0,Fragrant leaves used in South Indian dishes for a distinct flavor.
Italian Seasoning,0,0,0,"A blend of oregano, basil, thyme, rosemary, and marjoram used in Italian cuisine."
Cajun Seasoning,0,0,0,"A spicy blend of paprika, garlic, onion, cayenne, and herbs."
Garam Masala,0,0,0,"A warm, aromatic Indian spice mix containing cinnamon, cloves, cardamom, and more."
Taco Seasoning,0,0,0,"A blend of chili powder, cumin, garlic, onion, and paprika used for tacos."
Five-Spice Powder,0,0,0,"A Chinese spice blend with star anise, cloves, cinnamon, Sichuan pepper, and fennel."
Za'atar,0,0,0,"A Middle Eastern spice mix with thyme, sesame seeds, sumac, and salt."
Herbes de Provence,0,0,0,"A French herb blend including thyme, rosemary, oregano, and lavender."
Ras el Hanout,0,0,0,"A Moroccan spice blend with warm and fragrant spices like cumin, cinnamon, and cardamom."
Peri-Peri Seasoning,0,0,0,"A fiery blend of chili, garlic, onion, and citrus, popular in African and Portuguese dishes."
Chaat Masala,0,High Blood Pressure,0,"A tangy Indian spice mix with dried mango powder, cumin, and black salt."
Berbere,0,0,0,"An Ethiopian spice blend with chili, ginger, garlic, and warm spices."
Jerk Seasoning,0,0,0,"A Jamaican blend of allspice, thyme, Scotch bonnet peppers, and garlic."
Lemon Pepper Seasoning,0,0,0,A tangy mix of dried lemon zest and black pepper.
Adobo Seasoning,0,0,0,"A Latin American spice blend with garlic, oregano, and paprika."
Shichimi Togarashi,0,0,0,"A Japanese seven-spice blend with chili, sesame, orange peel, and seaweed."
Creole Seasoning,0,0,0,"A Louisiana spice blend with cayenne, paprika, garlic, and thyme."
Fajita Seasoning,0,0,0,"A smoky blend of chili, cumin, garlic, and onion used for fajitas."
Blackened Seasoning,0,0,0,A Cajun-style seasoning used to coat meats and fish before searing.
Pickling Spice,0,0,0,"A blend of mustard seeds, allspice, cloves, and bay leaves used for pickling."
Curry Powder,0,0,0,"A blend of turmeric, cumin, coriander, and other spices used in Indian-inspired dishes."
Skim Milk,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"Milk with most of the fat removed, lower in calories but still a good protein source."
Whole Milk,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,Full-fat milk with a rich taste and creamy texture.
Buttermilk,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"A tangy, slightly thick milk used in baking and marinades."
"Cream (Heavy, Light, Half & Half)",Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"Dairy fat used in cooking, coffee, and desserts. Heavy cream has the most fat."
Evaporated Milk,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"Milk with reduced water content, used in baking and cooking."
Condensed Milk,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"Sweetened evaporated milk, used in desserts and candies."
"Yogurt (Greek, Regular, Plant-based)",Milk,Lactose Intolerance,0,"A fermented dairy product available in thick (Greek) or regular forms, also available as plant-based alternatives."
Kefir,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"A probiotic-rich fermented dairy drink, similar to thin yogurt."
Ricotta Cheese,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"A soft, creamy Italian cheese used in pasta, desserts, and spreads."
Cottage Cheese,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"A fresh, mild cheese with a lumpy texture, high in protein."
Cream Cheese,Milk,"Lactose Intolerance, Chronic Kidney Disease",0,"A soft, spreadable cheese used in bagels, dips, and desserts."
Fructose,0,"Diabetes, IBS",0,"A natural sugar found in fruits, used as a sweetener."
Dextrose,0,Diabetes,0,"A simple sugar derived from corn, used in baking and energy drinks."
Maltose,0,Diabetes,0,"A sugar found in malted grains, used in brewing and baking."
Lactose,Milk,Lactose Intolerance,0,"A natural sugar in milk, which some people are intolerant to."
Rice Syrup Solids,0,Diabetes,0,"A sweetener made from rice starch, used in processed foods."
Galactose,0,Lactose Intolerance,0,A simple sugar found in dairy and some fruits.
Palm Kernel Oil,0,"Heart Disease, Hypertension",0,A saturated fat-rich oil used in processed foods and confectionery.
Walnut Oil,Tree Nuts (Walnut),0,"Paleo, Whole30","A nutty-flavored oil rich in omega-3s, used in salads and dressings."
Macadamia Oil,Tree Nuts (Macadamia),0,"Paleo, Whole30","A buttery oil high in monounsaturated fats, used in cooking and skincare."
Camelina Oil,0,0,0,"A cold-pressed oil high in omega-3 fatty acids, used for cooking and salads."
Cottonseed Oil,0,0,"Paleo, Whole30","A vegetable oil extracted from cotton seeds, used in processed foods and frying."
Branzino,Fish,0,0,"A mild, white-fleshed Mediterranean sea bass, often grilled or baked."
Orange Roughy,Fish,0,0,"A deep-sea fish with a mild, slightly sweet flavor, often pan-seared or baked."
Lingcod,Fish,0,0,"A firm, white-fleshed fish found in the Pacific, popular for grilling and frying."
Escolar,Fish,Gastroesophageal Reflux Disease (GERD),0,"A rich, buttery fish known for its high oil content, but can cause digestive issues if consumed in large amounts."
Sprats,Fish,0,0,"Small, oily fish similar to sardines, often eaten canned, smoked, or pickled."
Pili Nuts,Tree Nuts,0,"Paleo, Whole30","A rich, buttery nut from the Philippines, high in healthy fats and used in snacks and desserts."
Barley,Gluten,0,"Paleo, Whole30","A whole grain with a nutty flavor, used in soups, stews, and breads."
Rye,Gluten,Celiac Disease,"Paleo, Whole30","A hearty grain used in bread, whiskey, and traditional European dishes."
Chickpeas,0,0,"Paleo, Whole30","A protein-rich legume used in hummus, salads, and curries."
Lentils,0,0,"Paleo, Whole30","Small, high-protein legumes available in various colors, used in soups, stews, and Indian dals."
Mung Beans,0,0,"Paleo, Whole30","Small green legumes used in sprouts, soups, and Asian cuisine."
Adzuki Beans,0,0,"Paleo, Whole30",Small red beans commonly used in Asian desserts and savory dishes.
Fava Beans,0,0,"Paleo, Whole30","Large, buttery beans used in Mediterranean and Middle Eastern dishes."
Lupin,Lupin,0,"Paleo, Whole30","A high-protein legume used in flour, pasta, and plant-based foods."
Saffron,0,0,0,"The world�s most expensive spice, derived from the crocus flower, used in rice dishes and desserts."
Star Anise,0,0,0,"A licorice-flavored spice used in Chinese and Indian cuisine, as well as mulled beverages."
Galangal,0,0,0,"A root similar to ginger but with a citrusy, peppery flavor, used in Thai cuisine."
Grains of Paradise,0,0,0,"A peppery, citrus-flavored spice from West Africa, used in seasoning blends and beverages."
Sichuan Peppercorns,0,0,0,"A numbing, citrusy spice used in Chinese Sichuan cuisine."
Miso,Soy,0,Whole30,"A fermented soybean paste used in Japanese soups, marinades, and dressings."
Fish Sauce,Fish,0,0,"A salty, umami-rich fermented fish condiment used in Southeast Asian cuisine."
Worcestershire Sauce,Fish (if made with anchovies),0,Whole30,"A tangy, savory sauce made from fermented anchovies, vinegar, and spices."
Tamari,Soy (if soy-based),0,Whole30,"A Japanese soy sauce made without wheat, offering a richer umami flavor."
Liquid Smoke,0,0,0,A concentrated smoky flavoring made by condensing smoke from burning wood.
Nutritional Yeast,0,0,0,"A deactivated yeast with a cheesy, umami flavor, used in vegan dishes and seasonings."
Sodium Nitrite,0,"Heart Disease, Hypertension",Whole30,A preservative used in cured meats to prevent bacterial growth and enhance color.
Nisin,0,0,0,"A natural preservative derived from bacteria, used to prevent spoilage in dairy and canned foods."
Calcium Disodium EDTA,0,0,Whole30,A food additive used to prevent oxidation and maintain color in processed foods.
Sodium Metabisulfite,Sulfites,Asthma,0,"A preservative used to prevent oxidation in dried fruits, wines, and seafood."
Glucose Syrup,0,Diabetes,Whole30,"A sweet syrup derived from corn or wheat starch, used in baking and confectionery."
Tapioca Starch,0,0,0,"A gluten-free thickener made from cassava root, used in baking and sauces."
Potato Starch,0,0,0,"A gluten-free thickener derived from potatoes, used in soups, gravies, and baking."
Citric Acid,0,GERD,0,"A naturally occurring acid found in citrus fruits, used as a preservative and flavor enhancer."
Malic Acid,0,GERD,0,"A tart acid found in apples, used to add sourness to candies and drinks."
Lactic Acid,0,0,0,"A mild acid produced by fermentation, used in dairy products and as a food preservative."
Rice Protein,0,0,0,"A plant-based protein powder extracted from rice, used in protein supplements."
Invert Sugar Syrup,0,Diabetes,Whole30,A mixture of glucose and fructose that prevents crystallization in confectionery products.
"Acidity Regulators (E331, E332, Sodium Citrate)",0,0,0,Food additives used to maintain pH levels in processed foods.
Pectin,0,0,0,"A natural gelling agent used in jams, jellies, and fruit preserves."
Carnauba Wax,0,0,0,"A plant-based wax used as a coating for candies, pills, and fruits."
Potato Protein,0,0,0,"A plant-based protein extracted from potatoes, used in vegan and gluten-free foods."
Tomato Paste,0,GERD,0,"A concentrated tomato product used in sauces, soups, and stews."
Dehydrated Green Pepper,0,0,0,Dried green bell pepper used as a seasoning in soups and spice blends.
Carrot Powder,0,0,0,"A dehydrated carrot product used in soups, smoothies, and seasoning blends."
Red Pepper Flakes,0,GERD,0,"Crushed dried red chili peppers used for heat in pizza, pasta, and sauces."
Calcium Carbonate,0,0,0,A calcium supplement and food additive used as an acidity regulator.
Xanthan Gum,0,IBS,0,"A thickener and stabilizer used in sauces, dressings, and gluten-free baked goods."
Maltodextrin,0,Diabetes,Whole30,"A carbohydrate additive derived from starch, used in processed foods and sports drinks."
Dehydrated Garlic,0,GERD,0,Dried garlic used as a seasoning in spice blends and packaged foods.
Spices (General Category),0,GERD (depends on specific spice),0,"A broad term covering various plant-based seasonings, including dried seeds, roots, and leaves used to enhance food flavor."
Natural Flavouring,0,0,0,"Flavoring substances derived from natural sources like plants, herbs, and animal products."
Monosodium Glutamate (MSG),0,"Migraine, Hypertension",Whole30,"A flavor enhancer that boosts umami taste in savory foods, commonly used in Asian cuisine and processed snacks."
Sodium 5'Ribonucleotide,0,0,0,A combination of disodium inosinate and disodium guanylate used to intensify umami flavor in foods.
Caramel Colour,0,0,0,"A food coloring made by heating sugar, used in soft drinks, sauces, and baked goods to give a brown hue."
Hydrogenated Vegetable Oil,0,"Heart Disease, Hypertension",Whole30,"A processed oil where hydrogen is added to make it solid, commonly used in margarine and processed foods but linked to trans fats."
Beef,0,"Heart Disease, Gout",0,"The meat from cattle, rich in protein and iron, widely used in various cuisines globally."
Beef Fat (with Antioxidant BHA),0,Heart Disease,Whole30,"Rendered fat from beef, sometimes treated with Butylated Hydroxyanisole (BHA) to prevent oxidation and rancidity."
Yeast Extract,0,0,0,"A natural flavor enhancer derived from yeast, commonly used in soups, broths, and processed foods for a savory, umami taste."
Corn Sugar,0,Diabetes,"Ketogenic, Low-Carb, Atkins","A type of sugar derived from cornstarch, commonly used in processed foods."
Demerara Sugar,0,Diabetes,"Ketogenic, Low-Carb, Atkins","A type of raw sugar with large, crunchy crystals, often used in coffee and baking."
Turbinado Sugar,0,Diabetes,"Ketogenic, Low-Carb, Atkins","Partially refined sugar with a light brown color, similar to raw sugar."
High-Maltose Corn Syrup,0,Diabetes,"Ketogenic, Low-Carb, Atkins","A sweetener with a high maltose content, commonly used in processed foods."
Palm Sugar,0,Diabetes,"Ketogenic, Low-Carb, Atkins","A natural sugar derived from palm sap, used in Asian cooking and desserts."
Muscovado Sugar,0,Diabetes,"Ketogenic, Low-Carb, Atkins","A dark, molasses-rich sugar with a moist texture, used in baking and confections."
Arrowroot Powder,0,0,"Ketogenic, Low-Carb, Atkins","A gluten-free starch used for thickening sauces, soups, and desserts."
Cornstarch,0,0,"Ketogenic, Low-Carb, Atkins","A common thickener used in soups, sauces, and baking."
Tapioca Flour,0,0,"Ketogenic, Low-Carb, Atkins","A gluten-free thickener derived from cassava root, used in baking and puddings."
Wheat Starch,Wheat,Celiac Disease,Gluten-Free,A refined carbohydrate used in baking and processed foods.
Sodium Bicarbonate (Baking Soda),0,Hypertension,0,"A leavening agent for baking, also used as an acidity regulator."
Potassium Bicarbonate,0,Kidney Disease,0,"A baking soda alternative, often used in low-sodium foods."
Sodium Acid Pyrophosphate (SAPP),0,Hypertension,0,A leavening agent used in processed baked goods.
Calcium Carbonate,0,Kidney Disease,0,Used as a firming agent in canned vegetables and a calcium supplement.
Tartaric Acid,0,0,0,An acidity regulator found in baking powder and wine production.
Soybean Lecithin,Soy,0,Soy-Free,"An emulsifier used in chocolates, baked goods, and processed foods."
Palm Kernel Oil,0,High Cholesterol,Low-Fat,"A saturated fat derived from palm kernels, used in processed foods."
Fractionated Coconut Oil,0,High Cholesterol,Low-Fat,"A highly refined coconut oil used in snacks, chocolates, and cosmetics."
Gouda Cheese,Dairy,Lactose Intolerance,"Vegan, Dairy-Free, Paleo","A mild, yellow cheese with a creamy texture, commonly used in sandwiches."
Provolone Cheese,Dairy,Lactose Intolerance,"Vegan, Dairy-Free, Paleo","A semi-hard cheese with a mild, tangy flavor, often used in sandwiches and pizzas."
A2 Milk,Dairy,Lactose Intolerance,"Vegan, Dairy-Free, Paleo","A type of milk that contains only A2 beta-casein protein, believed to be easier to digest."
Soy Milk,Soy,0,"Soy-Free, Paleo","A plant-based milk alternative made from soybeans, often fortified with vitamins."
Seitan (Wheat Gluten),Wheat,Celiac Disease,Gluten-Free,"A high-protein meat substitute made from wheat gluten, used in vegetarian and vegan dishes."
Textured Vegetable Protein (TVP),Soy,0,Soy-Free,"A soy protein product that mimics meat texture, commonly used in vegetarian foods."
Rice Vinegar,0,0,0,"A mild, slightly sweet vinegar used in Asian cuisine and sushi."
Malt Vinegar,Wheat,Celiac Disease,Gluten-Free,"A vinegar made from malted barley, commonly used with fish and chips."
Kombucha,0,0,0,A fermented tea drink containing probiotics and antioxidants.
Kimchi,0,Hypertension,DASH,"A Korean fermented vegetable dish, typically made with cabbage and chili peppers."
Annatto Extract,0,0,0,"A natural coloring derived from the achiote tree, used in cheese and processed foods."
Titanium Dioxide,0,0,0,"A whitening agent used in candies, dairy products, and sunscreen."
Silicon Dioxide,0,0,0,An anti-caking agent used in powdered foods and supplements.
Carrageenan,0,0,0,A seaweed extract used as a thickener in dairy products and plant-based milks.
Sodium Caseinate,Dairy,Lactose Intolerance,"Vegan, Dairy-Free","A milk-derived protein used in coffee creamers, processed cheese, and protein supplements."
Pasteurized toned milk,Milk,Lactose Intolerance,"Vegan, Dairy-Free, Paleo","A dairy product made by reducing fat content while retaining nutrients, commonly used for drinking and cooking."
Enzyme (B-galactosidase),0,0,0,"A natural enzyme that helps break down lactose in dairy products, commonly used in lactose-free milk and supplements."
Blueberry syrup,0,Diabetes,Keto,High sugar content may impact diabetics and those with blood sugar concerns.
